ID,Geschlecht,Größe
"Salas, Kaileia",Female,167
"Burgesser, Taryn",Female,156
"Green, Baylee",Female,158
"Brown, Brenda",Female,172
"Valles, Jackie",Female,170
"Sutherlin, Michelle",Female,158
"Wiedmaier, Hector",Male,178
"Johnson, Connor",Male,168
"Cayetano Jimenez, Danacia",Female,157
"Morales, Briana",Female,157
"Patel, Obera",Male,175
"Lajeunesse, Ella",Female,170
"Good, Alexa",Female,165
"Dwyer, Joshua",Male,181
"Vinod, Ricardo",Male,181
"Leanos, Janeah",Female,171
"Varela-Alba, Danesha",Female,165
"Garcia, Raeven",Female,163
"Franklin-Douglas, Summer",Female,161
"Velarde, Damajahnee",Female,167
"Davis, Alanna",Female,159
"Francia Mosqueda, Ebony",Female,153
"Danvers, Shanelle",Female,157
"Murray, Hament",Male,183
"Lim, Trevaughn",Male,176
"Pugh, Ashlee",Female,172
"Mcintosh, Brandon",Male,195
"Jacket, Seong",Male,167
"Herold, Austin",Male,176
"Mcleod, Robert",Male,194
"Dominguez, Jeannette",Female,144
"Newman, Mario",Male,186
"Johnson, Beauty",Female,156
"Beaver, Si Hien",Male,170
"Dang-Baca, Luis",Male,184
"Garner, Joshua",Male,169
"Romero-Perez, Brizhay",Female,167
"Eltagonde, Momodou",Male,177
"Hoffman, Eduardo",Male,187
"Burns, Jesslyn",Female,159
"Lor, Mario",Male,171
"Slechter, Zengda",Male,179
"Carlson, Neil",Male,172
"Matthew, Derrik",Male,184
"Ramos, Donavon",Female,167
"Galindo, Kyra",Female,164
"Rustemeyer, Kristian",Male,178
"Logan, Margaret",Female,148
"Boone, Nhi",Female,186
"Anders, Avinaba",Male,188
"Twitty, Michael",Male,172
"Ordonez, Victoria",Female,150
"Padilla, Meshelle",Female,169
"Tamez, Taylor",Female,156
"Ketema, Ramona",Female,168
"Ao, Tylar",Male,185
"Liu, Jaron",Male,183
"Tearney, Raenu",Female,159
"Soufiani, Devin",Male,165
"Trujillo, Daphne",Female,166
"Esparza, Carla",Female,167
"Fukushima, Dagnachew",Male,170
"Topkar, Alonzo",Male,184
"Sinclair, Tiffany",Female,160
"Trujillo, Deserae",Female,160
"Laner, Nikhilesh",Male,186
"Dominguez, Jazmine",Female,160
"Lee, Destiny",Female,179
"Xu, Quincy",Male,180
"Rock, Brooke",Female,157
"Santana, Sarahnora",Female,168
"Mistry, Daniel",Male,189
"Mackey, Ronald",Male,186
"Hernandez, Kaniesha",Female,164
"Phillip, Amanda",Female,161
"Johnson, Annika",Female,162
"Kwon, Luis",Male,177
"Lim, Tion",Male,178
"Desai, Luis",Male,169
"Glover, Jacob",Male,184
"Ho, Knevin",Male,173
"Tafoya, Aciano",Male,172
"Thapa, Carlos",Male,192
"Mccloud, Nicolas",Male,174
"Asberry, Grant",Male,189
"Patterson, Sierra",Female,178
"Tapia, Chelsie",Female,165
"Worley, Lily",Female,156
"Munson, Gabrylle",Female,164
"Rael, Mika",Male,182
"Rhodes, Michael",Male,168
"Nevarez Hernandez, Simone",Female,148
"Brooks-Jeremiah, Samantha",Male,186
"Jimenez, Ariany",Female,160
"Bennett, Roman",Male,174
"Gallegos, Gabriela",Female,164
"Joiner, Megan Janet",Female,164
"Ashfeld, Jalaka",Female,160
"Watts, Tony",Male,173
"Angeles, Angel",Male,173
"Scott, Kristen",Female,156
"Kemp, Thieng",Female,171
"Martinez, Keyana",Female,160
"Johnson, Kassidy",Female,151
"Utu, Gage",Male,177
"Harris, Tiffany",Female,167
"Meadows, Michael",Male,174
"Aguilar, Maori",Female,150
"Nguyen, John",Male,184
"Sandoval, Ronnisha",Female,176
"Ramirez, Daisy",Female,161
"Lopez Espinoza, Donita",Female,159
"Gutierrez, Tyra",Female,150
"Arnold, Brian",Male,180
"Ford, Serena",Female,159
"Schreibman, Sergio",Male,173
"Dickey, Dane",Male,183
"Bowser, Alysia",Female,160
"Ombadykow, Mario",Male,170
"Woods, Zachary",Male,175
"Gates, Ashli",Female,175
"Petersen, Lane",Male,174
"Duron, Reyna",Female,172
"Apodaca, Sierra",Female,157
"Pasillas, Kendall",Female,170
"Calloway, Dylan",Female,157
"Anderson, Kendall",Male,172
"Gutierrez, Jazmyne",Female,161
"Mendez, Maya",Female,167
"Lepe, Melina",Female,167
"Tran, Ernan",Male,176
"Stebbins, Leonardo",Male,185
"Martinez, Erika",Female,164
"Fish, Dennis",Male,190
"Christiansen, Erica",Female,175
"Sayasane, Micah",Male,184
"Murphy, Shyanne",Female,169
"Tree, Henry",Male,192
"Sidara, Isaac",Male,182
"Duarte, Juanita",Female,173
"Sims, Hannah Jane",Female,167
"Taase, Christopher",Male,173
"Nguyen, Arnulfo",Male,182
"Kim, Edward",Male,184
"Hatcher, Cameron",Male,193
"Pagaduan, Leonardo",Male,166
"Desai, Byron",Male,176
"Agbeke, Stephanie",Female,168
"Elfring, Jose",Male,180
"Dannels, Catherine",Female,163
"Hancock, Nicole",Female,164
"Benson, Kei",Female,184
"Williams, Zane",Male,170
"Thornton, Tyler",Male,195
"Sandoval, Brianna",Female,166
"Rosser, Stephen",Male,195
"Hernandez, Mireya",Female,173
"Lovett, Michelle",Female,175
"Brown, Shirley",Female,152
"Tuttle, Tarran",Female,156
"Luong, Carroll",Male,184
"Miller, Morgan",Male,188
"Pham, Daniel",Male,175
"Stechert, Mario",Male,180
"Bills, Tessa",Female,160
"Carmona, Darian",Female,159
"Vang, Gerald",Male,167
"Vigil, Sabrina",Female,165
"Dela Cruz, Alfonso",Male,183
"Chen, Nicholas",Male,170
"Mills, Judah",Male,177
"Bicio-Renteria, Rebecca",Female,165
"Cellars, Cetan",Female,164
"Nielsen, Rebecca",Female,165
"Esquibel, Zayra",Female,163
"Castaneda, Benjamin",Male,180
"Stanley, Jeremiah",Male,176
"Rajasekar, Joseph",Male,166
"Pak, Arturo",Male,176
"Gemeda, Taylor",Male,180
"Richmond, Karalyssa",Female,151
"Saddler, Ariel",Female,178
"Zhong, Aarin",Male,180
"Thiessen, Raul",Male,167
"Park, Ari",Male,167
"Davis, Jung",Female,162
"Mohamed, Angela",Female,164
"Hermosillo, Keleka",Female,173
"Ramirez, Rosa",Female,162
"Lopez, Anne",Female,159
"Wolday, Katherine",Female,157
"Sierra, Deszane",Female,167
"Park, Michael",Male,175
"Bailey, Geneva",Female,173
"Almazbek, Surafale",Male,174
"Erisman, Julio",Male,178
"Mosby-Beckworth, Zachary",Male,180
"Tinoco, Amanda",Female,175
"Perez Duarte, Autumn",Female,162
"Pineda, Thalessa",Female,171
"Cordova, Stephanie",Female,165
"Yanito, Othell",Male,170
"Johnson, Tanner",Male,179
"Muckom, Brandon",Male,172
"Espinoza-Rodriguez, Tori",Female,157
"Le, Lawrence",Male,164
"Anderson, Skye",Female,176
"Zink, Rachael",Female,158
"Rodriguez, Kristel",Female,152
"Garcia, Alexa",Female,160
"Ling, Christopher",Male,183
"Nguyen, Isaiah",Male,182
"Martinez, Cristal",Female,167
"Thompson-Gonzales, Reanne",Female,157
"Linear, Desiree",Female,174
"Io, Darren",Male,176
"Zhang, Jonathan",Male,176
"Espinoza, Michael",Male,161
"Francies, Rebecca",Female,162
"Unga, Mikhail",Male,179
"Mcdonald-Brown, Jaime",Female,162
"Crowe, Sanjay",Male,180
"John, Jason",Male,176
"Lang, Herman",Male,178
"Bruski, Nykalous",Male,193
"Morales, Savannah",Female,151
"Miller, Shyanne",Female,173
"Watts, Jade",Female,172
"Vigil, Denise",Female,163
"Combs, Danni",Female,165
"Dutkin, Gustavo",Male,173
"Nelson, Skyeler",Female,164
"Bass, Kenny",Male,187
"Jones, Cymone",Female,166
"Guardipee, Todd",Male,186
"Johnson, Troy",Male,171
"Pineda Marroquin, Kala",Female,167
"Castaneda, Elisa",Female,154
"Gilmore, Dwight",Male,179
"Bishara, Myles",Male,184
"Smith, Steve",Male,172
"Cunnigan, Nkaujiaong",Female,176
"Vasquez, Antonia",Female,168
"Molina, Lyberti",Female,167
"Aguiar, Miguel",Male,189
"Gamboa, Angel",Female,168
"Flax, Rebecca",Female,159
"Broyles, Lyly",Female,164
"Iniguez-Salgado, Jeana Brinae",Female,160
"Rossell-Eddy, Cassi",Female,170
"Holmes Jr, Tan",Male,180
"Heilman, Santiago",Male,187
"Evans, Margaret",Female,166
"Hayes, Taju",Male,181
"Tan, Shae",Male,182
"Morales, Diana",Female,174
"Null, Mikaela",Female,160
"Kimeu, Mouneek",Female,168
"Jumbo, Joshua",Male,179
"Nilson, Victoria",Female,166
"Johnson, Alec",Male,185
"Martinez, Tiyanna",Female,151
"Chavers, Aqsa",Female,158
"Simon, Eric",Male,188
"Bursey, Janelle",Female,158
"Bilderback, Terri",Female,162
"Patterson, Mutadi",Male,182
"Ruiz, Jasmine",Female,163
"Bernatsky, Michael",Male,188
"Tudor, Pyung",Male,174
"Spears, Alyssa",Female,154
"Souza, Caitlyn",Female,176
"Lang, Ian",Male,184
"Ware, Lexandra",Female,155
"Jamison, Austin",Male,182
"Vialpando, Kyle",Male,180
"Butierres, K'Ara",Female,165
"Green, Brandon",Male,172
"Deer, Tyler",Male,184
"Cha, Jesse",Male,163
"Cornelius, Tony",Male,187
"Lopez, Aspen",Female,166
"Dudek Jr, Victoria",Female,157
"Maes-Nuanes, Monique",Female,167
"Tram, Nathan",Male,178
"Casados, Yulibeth",Female,166
"Khalidov, Triydel",Male,174
"Coffee, Geraldine",Female,166
"Taylor, Taylor",Female,174
"Casias, Corazon",Female,159
"Marinelarena, Jessica",Female,152
"Marler, Roberto",Male,178
"Viswaroopan, Markale",Male,169
"Kelly, Claire",Female,170
"Tovar, Kendra",Female,171
"Godinez, Kami",Female,168
"Sam, Marcus",Male,166
"Cruz-Yen, Foryst",Male,172
"Trujillo, Shanna",Female,173
"Lenahan, Kyle",Male,181
"Ortiz, Aciano",Male,188
"Hunt, Sage",Male,172
"Medina, Shaniya",Female,178
"Qualls, Lauren",Female,170
"Loa, Queyri",Female,165
"Romero, Jesse",Male,188
"Ramos, Elizabeth",Female,155
"Tran, Evan",Male,170
"Steenburgh, Jose",Male,179
"Rosenblum, James",Male,189
"Owens, Savannah",Female,162
"Park, Maileek",Male,174
"Lopez, Sang Kyun",Male,159
"Rosen, Alex",Male,168
"Sandoval, Nelson",Male,185
"Bernal, Ji Hoon",Male,191
"Dahmer, Megan",Female,177
"Marotta, Joshua",Male,169
"Farris-Neal, Jiyae",Female,172
"Nguyen, Jake",Male,182
"Cheung, Dakei",Male,172
"Warero Jr, Karli",Female,162
"Xiong, Alejandre",Male,178
"Quintana, Yadira",Female,166
"Mendez, Erika",Female,156
"Gordon, Ryan",Male,172
"Backstrom, Ashley",Female,164
"Groom, Hunter",Female,171
"Rudd, Jazmyn",Female,159
"Chau, Steffano",Male,171
"Vang, Ezell",Male,190
"Flores, Gloria",Female,176
"Young, Zheng",Male,178
"Jumbo, Brandon",Male,178
"Pham, Zhakery",Male,186
"Gonzales, Aniket",Male,172
"Lee, Andrew",Male,170
"Mason, Roger",Male,178
"Miale, Lynnji",Female,160
"Schubert, Joseph",Male,181
"Lyons, Hallie",Female,162
"Lopez, Dora",Female,171
"Medina, Anjelique",Female,170
"Grapain, Kassaundra",Female,169
"Anderson, Halee",Female,162
"Goto, Emmanuel",Male,176
"Jones, Cheyenne",Female,177
"Nguyen, Andres",Male,180
"Cade, Gina",Female,165
"Nakama, De'Ron",Male,185
"Garcia, Julianna",Female,170
"Laughlin, Paul",Male,186
"Vasquez, John",Male,182
"Tillmon, Carina",Female,160
"Smith, Tiffany",Female,166
"Abrahms, Phillip",Male,175
"Cruze, Orion",Male,162
"Arguello, Victor",Male,173
"Soria-Ramos, Tasharina",Female,160
"Sailas, Jasmine",Female,172
"Dominguez, Megan",Female,168
"Nguyen, Carlos",Male,174
"Xiong, Gilberto",Male,180
"Cardoza, Dante",Male,182
"Vialpando, Christian",Male,173
"Xiong, Macarthur",Male,165
"Jones, Priscilla",Female,145
"May, Anthony",Male,177
"Riley, Cynthia",Female,164
"Ortiz, Mori",Male,184
"Brave, Zachery",Male,190
"Daylie, Alexandria",Female,173
"Granados Garcia, Jordan",Male,184
"Ponce, Herminia",Female,169
"Henn, Colton",Male,183
"Maldonado, Jocelyn",Female,164
"Vasquez, Santos",Male,177
"Mortel, Brainard",Male,177
"Jones, Zahari",Female,170
"Gadd, Sky",Male,175
"Lancaster, Savanah",Female,160
"Rohrbach, Daevon",Male,172
"Hernandez, Andrea",Female,159
"Cho, Terran",Male,186
"Alvarez Solis, Avalon",Female,173
"Agboglo, Brandon",Male,177
"Strohl, Aaron",Male,175
"Lechuga, Haley",Female,160
"San, Ricardo",Male,186
"Jones, Anh",Female,162
"Rhodes, Jared",Male,188
"Brown, Tasina",Female,166
"Gonzalez-Ruiz, Alycya",Female,155
"Hubbard, Adam",Male,190
"Andrade, Maria",Female,169
"Morgan, Kevin",Male,180
"Wong, Micah",Male,183
"Whitecalf, Hien",Male,170
"Renteria, Kristina",Female,152
"Jiron, Alexander",Male,182
"Rangel, Cariann",Female,161
"Rice, Jordan",Male,196
"Nguyen, Raul",Male,161
"Bushyhead, Seth",Male,180
"Romero, Karl",Male,176
"Sanchez, Roslyn",Female,158
"Trejo, Rosalinda",Female,162
"Etsitty, Daniel",Male,174
"Pena, Klaudia",Female,176
"Valenzuela, Anna",Female,161
"Rodriguez-Roldan, Danielle",Female,161
"Nishida, Kurtiz",Male,172
"Evans, Kelsey",Female,172
"Hanna, Leroy",Male,190
"Ehizuelen, Cole",Male,181
"Murphy, Lillyan",Female,150
"Mace, Julian",Male,173
"Allen, Levi",Male,171
"Wallace, Conor",Male,177
"Skodack, Matthew",Male,179
"Eisele, Henry",Male,173
"Vang, Avion",Male,173
"Scott, Colette",Female,150
"Nguyen, Armoni",Male,169
"Nguyen, Brandon",Male,180
"Moody, Laura",Female,174
"Jara, Ayrika",Female,168
"Brady, Brandon",Male,173
"Flores, Winta",Female,164
"Rogers, Samantha",Female,167
"Petrie, Matthew",Male,171
"Mascarenas, Alexis",Female,169
"Charity, Jennifer",Female,178
"Coronado Rocha, Jada",Female,163
"Krien, Danielle",Female,159
"Medina, Estrella",Female,160
"Olivares, Justina",Female,163
"Odell, Katherine",Female,169
"Vermillion, Michael",Male,174
"Valles, Kayla",Female,147
"Valenzuela, Jessica",Female,166
"Shah, Juan",Male,176
"Franklin, Thien Thanh",Female,153
"Falope, Dylan",Male,176
"Dulaney, Daisy",Female,161
"Lor, Lawrence",Male,177
"Whiteskunk, Gookjin",Male,182
"Garcia, David",Male,171
"Sanabria Valdez, Brenda",Female,164
"Mohamud, Soomin",Female,145
"Lopez, Allexis",Female,160
"Swiney, Jayda",Female,162
"Langer, Ritika",Female,158
"Amos, Richard",Male,188
"Ontiveros, Shelby",Female,168
"Austin, Jasmin",Female,170
"Begay, Brandon",Male,185
"Deboer, Joshua",Male,178
"Martinez, Alexander",Male,179
"Decluette, Maren",Female,154
"Lofton, Dongwoo",Male,184
"Lowe, Storm",Male,181
"Li, Roberto",Male,176
"Lewis, Ella",Female,166
"Terrones, Bobbie",Female,170
"Prince, Marcus",Male,168
"Dominguez Palacios, Jessica",Female,164
"Richardson, Megan",Female,162
"Jiang, Matthew",Male,163
"Tryels, Simran",Female,172
"Warren, Vy",Female,167
"Vasquez, Tashala",Female,158
"Gonzales, Andrea",Female,172
"Simental, Tam",Male,169
"Sima, Manuel",Male,178
"Ellis, Nhi",Female,171
"Sainz, Takiyah",Female,167
"Holguin, Hope",Female,172
"Schubert, Howard",Male,189
"Martinez, Alanna",Female,151
"Ernst, Alexis",Female,165
"Dominguez, Laquesha",Female,163
"Lawton, Myeong Se",Male,163
"Upadhyay, Marleek",Male,201
"Young, Rayyan",Male,175
"Gore, Marcus",Male,175
"Kleinjans, Matrice",Male,184
"Cung, Isaiah",Male,180
"Bowman, Abigail",Female,177
"Ho, Adrian",Male,167
"Yan, Daniel",Male,165
"Azbelig, Terran",Male,182
"Flores, Victoria",Female,157
"Arellano, Amari",Female,168
"Boyd, Chandler",Female,168
"Perez, Kanika",Female,156
"Ariunbold, Mario",Male,188
"Abdullah, Tatiana",Female,173
"Liu, Alexander",Male,184
"Cali, Wilfrid",Male,178
"Vallie, Tevin",Male,186
"Collins, Jordan",Male,189
"Brett, Avian",Male,188
"Mcmorris, Cesare",Female,164
"Espinal, Ilea",Female,157
"Zimmerman, Laura",Female,158
"Cross-Romero, Blake",Male,182
"Mascarenas, Yeimy",Female,160
"Ward, Austin",Male,168
"Manheimer, Ian",Male,170
"Koehler, Sarah",Female,160
"Turner, Brooke",Female,171
"Larson, Benjamin",Male,178
"Gardner, Lauren",Female,155
"Perez, Alexsiss",Female,170
"Thrush, Jasper",Male,181
"Hawley, Alexandria",Female,166
"Trujillo, Lauren",Female,161
"Senphannarat, Lucas",Male,176
"Ramirez, John",Male,185
"Le, Marco",Male,169
"Barrett, Matthew",Male,186
"Nguyen, Eugene",Male,190
"Johnson, Shannon",Female,169
"Garcia, Elise",Female,174
"Esquibel, Desiree",Female,165
"Doyle, Samantha",Female,149
"Romero, Natasha",Female,171
"Perkins, Annika",Female,162
"Adolpho-Rivera, Shawn",Male,190
"Martinez, Yusra",Female,151
"Ontiveros Barraza, Garlyn",Female,154
"Medina, Ruby",Female,159
"Lopez, Madeline",Female,166
"Withrow, Kellara",Female,164
"Briseno, Alisha",Female,162
"Godoy Ramirez, Edith",Female,188
"Reyes Lopez, Rita",Female,172
"Xiong, Zuriel",Male,189
"Martinez Varelas, Mia",Female,151
"James, Amber",Female,167
"Mangelsen, Lohitha",Female,158
"Chan, Edgar",Male,192
"Dysart, Emily",Female,164
"Kaur, Junious",Male,179
"Markham, Edgar",Male,190
"Lamb II, Dayriana",Female,165
"Raiburn, Brandon",Male,177
"Fierro, Brittany",Female,172
"Le, Natenal",Male,188
"Yoon, Jefferson",Male,174
"Napila, Mohamed",Male,185
"Munk, Brandon",Male,179
"Cochran, Jerald",Male,167
"Rivera Carrasco, Ruby",Female,164
"Oda, Austin",Male,180
"Flores-Gutierrez, Kaya",Female,166
"Hollis, Kyle",Male,185
"Pierce, Pedro",Male,179
"Valdez, Chamaray",Male,176
"Haulman, Kristian",Male,175
"Wang, Michael",Male,183
"Soto, Jocelyn",Female,154
"Torrez, Daijah",Female,166
"Parrow, Thomas",Male,178
"Segura, Alysha",Female,169
"Gereltuya, Kristian",Male,180
"Martinez, Chase",Female,161
"Desett, Naiessynce",Female,176
"Saucedo, Janette",Female,160
"Day, Crue",Male,181
"Mosley, Emmalee",Female,162
"Santa Cruz, Gabriella",Female,158
"Sweetwater, Geoffrey",Male,177
"Lozano, Bre Anna",Female,177
"Cooley, Alexis",Female,155
"Smith, Katie",Female,168
"Marquez, Dannikka",Female,168
"Trujillo, Nancy",Female,173
"Garcia, Thomas",Male,174
"Iritani, Mizael",Male,165
"Falconer, Kollyn",Male,177
"Chau, Clarence",Male,192
"Mossholder, Anthony",Male,172
"Deherrera, Sevaun",Female,176
"Dinh, Rashawn",Male,186
"Diller, Adrian",Male,168
"Ratcliff, Gaochazhong",Female,157
"Adetoye, Caleb",Male,184
"Trejo, Analy",Female,163
"Bernabe, Paul",Male,170
"Trujillo, Tatianna",Female,164
"Griffin, Tia",Female,164
"Olguin, Justin",Male,181
"Mcclanahan-Saenz, Matthew",Male,190
"Kinlicheene, Alexander",Male,172
"Ojeda Santillan, Ajana",Female,165
"Kelly, Aryk",Male,178
"Lim, Dashawn",Male,168
"Williams, Cameron",Male,170
"Drake, Nicholas",Male,184
"Tsui, Isaiah",Male,179
"Ewing, Sara",Female,162
"Mcculley, Felix",Male,184
"Teter, Kylie",Female,170
"Ramirez, Amairani",Female,164
"Yang, Reymundo",Male,185
"Viner, Casey",Male,181
"Nguyen, Tyler",Male,187
"Woolfolk, Lasandra",Female,158
"Xiong, Dominic",Male,174
"Cummings, Cheyanne",Female,165
"Miranda Gallegos, Flor",Female,178
"Rohrkaste, Joshua",Male,196
"Martinez, Amanda",Female,170
"Haigler, Almiranda",Female,163
"Tran, Rico",Male,184
"Hilt, Bethanie",Female,178
"Jackson, Smaly",Female,163
"Warren, Natalie",Female,164
"Duong, Randy",Male,176
"Mendoza, L'Thysharee",Female,155
"Balcom, Gina",Female,168
"Lor, Demetrious",Male,172
"Coker, Oscar",Male,183
"Penn, Brandi",Female,169
"Becker, Nicole",Female,141
"Lummis, Devonte",Male,186
"Nguyen, Quintin",Male,169
"Lee, Amanda",Female,161
"Bermudez, Zoe",Female,150
"Hayes, Morgan",Female,161
"Banks, Keith",Male,178
"Roque-Alvarez, Katie",Female,165
"Dohnalik, Sierra",Female,168
"Bancroft, Nicolas",Male,173
"Mberwa, Kei",Female,174
"Williams, Keenan",Male,166
"Pinkett, Emily",Female,161
"Wongveerakul, Carlos",Male,188
"Preston, Solomon",Male,175
"Butler, Dakota",Female,176
"Allen, Mikhaila",Female,143
"Hill, Janice",Female,157
"Leathers, Jordan",Male,169
"Martinez, Breanna",Female,164
"Baca-Montano, Tiffany",Female,152
"Pallen, Andrew",Male,173
"Shrestha, Andrew",Male,179
"Sanchez, Isaac",Male,177
"David, Tahleel",Male,191
"Rivera, Raven",Female,168
"Balagot, Jordan",Male,186
"Hill, Susana",Female,171
"Blanchard, Mario",Male,183
"Duran, Lela",Female,168
"Brigham, Julian",Male,178
"Ruiz, Kara",Female,167
"Coody, Sally",Female,164
"Her, Vincent",Male,173
"Fife, Lexy",Female,172
"Samples, Velia",Female,152
"Alvarez, Breanna",Female,161
"Williams, Anisa",Female,143
"Ozeta, Jasmine",Female,173
"Wong, Antonio",Male,165
"Diaz, Brianna",Female,158
"Aguilera Macias, Danielle",Female,162
"Foster, Siengthong",Male,190
"Shorty, David",Male,192
"Borunda, Chenchar",Male,187
"Thompson, David",Male,192
"Smith, Rashaan",Male,181
"Gresham, Amy",Female,170
"Fox, Tergel",Female,164
"Newsom, Alexandra",Female,166
"Baca, Gabrielle",Female,162
"Velasquez, Keysha",Female,161
"Parker, Valetty",Female,160
"Pleasant, Imani",Female,170
"Peil, Shahzad",Male,179
"Farmer, Ricardo",Male,183
"Ontiveros, Jacqueline",Female,162
"Hickson, Trevor",Male,184
"Cox, Emily",Female,161
"Reynosa, Cynthia",Female,155
"Rodriguez, Adrianna",Female,159
"Mendoza, Dalayah",Female,170
"Tarrant, Wana",Female,148
"Goette, Jasmine",Female,158
"Barber, Skilah",Female,180
"Johnson, Nicole",Female,160
"Lam, James",Male,175
"Burnett, Manikoun",Female,183
"Masterson, Derick",Male,186
"Ball, Vincente",Male,182
"Lowe, Rebekah",Female,170
"Gadison, Johnnie",Male,174
"Korn, Jennifer",Female,170
"Lajeunesse, Phaylinh",Female,159
"Hernandez, Rasheeda",Female,154
"Johnson, Shawnna",Female,160
"Le, Joshua",Male,176
"Mckinney, Cody",Male,178
"Scheid, Breanna",Female,171
"Pena, Karen",Female,171
"Boykin, Bruce",Male,184
"Atmore, Kevin",Male,176
"Lymburn, Luis",Male,185
"Hair, Kyle",Male,195
"Shoats, Taylor",Male,181
"Mayes, Melanie",Female,150
"Crist, Naaamorkor",Female,157
"Amaya, Bethany",Female,171
"Marquez, Melonie",Female,164
"Mcqueen-Rhodes, Ian",Male,182
"Smith, Amaihah",Female,173
"Mazotti, Jared",Male,194
"Girma, Cassondra",Female,157
"Davis, Alana",Female,154
"Villanueva, Brylle",Male,180
"Maldonado, Blanca",Female,180
"Snyder-Jones, Anthony",Male,164
"Latham, Anthony",Male,173
"Anderson, Nhuquynh",Female,155
"Amparan, Paige",Female,159
"Trujillo Sais, Breanna",Female,169
"Dimas-Williams, Ashley",Female,164
"Galligan, Solomon",Male,188
"Batton, Hannah",Female,161
"Wallace, Christopher",Male,190
"Plaatjes, Ryan",Male,174
"Garcia, Andrea",Female,166
"Kalu, Lisa",Female,174
"Nelson, Arlene",Female,159
"Bailey, Austin",Male,180
"Martinez Ugalde, Ginasia",Female,168
"Lou, Norberto",Male,180
"Treu, Aiyana",Female,156
"Siddiqui, Givonne",Male,188
"Moreland, Breanna",Female,158
"Salcedo, Angela",Female,174
"Wu Zheng, Malik",Male,184
"Few, Michael",Male,183
"Forrest, Heather",Female,177
"Geberkidane, Stephanie",Female,149
"Gomez, Daniel",Male,178
"Hernandez, Shydasha",Female,171
"Nealey, Neal",Male,173
"Gudino Betancourt, Natalie",Female,171
"Smith, Rebecca",Female,145
"Atkinson, Tristan",Male,184
"Martinez, Jovonna",Female,158
"Miller, William",Male,171
"Wesley, Lasamoa",Female,169
"Phontavee, Christopher",Male,181
"Garcia, Celeste",Female,167
"Nguyen, Jayson",Male,163
"Quarles, Megan",Female,162
"Bird, Cody",Male,169
"Nguyen, D'Angelo",Male,189
"Triana, Moira",Female,168
"Torres-Sagredo, Rebecca",Female,155
"Tam, Alejandro",Male,181
"Ironshield, Christopher",Male,167
"Spiller, Richmond",Male,174
"Dominguez, Yohana",Female,163
"Armendariz Ochoa, Vanessa",Female,157
"Martinez, Mariah",Female,156
"Vigil, Jeffrey",Male,166
"Foster, Isaac",Male,198
"Andrade, Mea",Female,159
"Baros, Brandi",Female,160
"Martinez, Kevin",Male,181
"Labishak, Martin",Male,164
"Cradle, Stephanie",Female,170
"Lawton, Jacob",Male,192
"Crawford, Hannah",Female,152
"Montoya-Gonsalez, Rosa",Female,169
"Wong, Joseph",Male,174
"Cisneros, Liana",Female,158
"Nguyen, Matteo",Male,169
"Barnes, Marriah",Female,167
"Martinez, Jasmine",Female,165
"Ravenell, Angela",Female,170
"Garcia, Kalynne",Female,167
"Yohe-Ironwing, Michael",Male,181
"Giron, Jessica",Female,167
"Jefferson, William",Male,174
"Morton, Kourtney",Female,162
"Gabriel, Marie",Female,164
"Adams, Kathryn",Female,159
"Ray, Sade",Female,163
"Gonzales, Raquel",Female,164
"Mcbride, Thien",Male,169
"Nguyen, James",Male,184
"Thompson, Brandy",Female,172
"Sharp, Brendon",Male,169
"Mason, Kualii",Male,185
"Elazier, Abigail",Female,171
"Smith, Tyler",Male,160
"Suggs, Brent",Male,174
"Anderson, Andre",Male,168
"Smith, Rebecca",Female,167
"Flores Xochitla, Samoun",Female,162
"Olona, Emily",Female,157
"Sihavong, Joline",Male,185
"Lee, Jaylen",Male,179
"Casias, Brenda",Female,160
"Comcowich, Janet",Female,171
"Vasquez, David",Male,184
"Martinez, Maudgenique",Female,161
"Smith, Shelby",Female,161
"Cotonuts, Matthew",Male,174
"Bennett, Jina",Female,152
"Thomas, Trae",Male,180
"Christopherson, Gabriel",Male,190
"Velasquez, Valerie",Female,157
"Rosales, Jazmine",Female,160
"Battulga, Walter",Male,186
"Hertz, Daniel",Male,163
"Trujillo, Jocilynn",Female,160
"Hoyte, Shara",Female,148
"Rollins, Domonique",Female,164
"Navarro, Shamari",Female,160
"Curiel, Monee",Female,166
"Swanson, Jamie",Female,184
"Cornejo, Jessica",Female,162
"Romero, Zoe",Female,152
"Castro, Cindy",Female,167
"Murphy, Andrew",Male,188
"Mccann, Lindsay",Female,171
"Freeman, Pao",Male,176
"Irving, Michaela",Female,167
"Ledru, Rick",Male,192
"Duley, Jake",Male,175
"Wi, Lucas",Male,177
"Caballero, Tyler",Male,181
"Cherry, Yousif",Male,173
"Veltri, Colleen",Female,159
"Leon, Jaszymn",Female,156
"Trambulo, Daud",Male,144
"Vue, Richard",Male,183
"Kleinman, Catherine",Female,149
"Fernandez, Amelia",Female,161
"Senthilvel, Richard",Male,168
"Yazzie, Timothy",Male,180
"Rice, Lashawn",Male,176
"Hopper, Brenden",Male,181
"Erickson, Sabrina",Female,175
"Hemlock, Lee",Male,188
"Dreher, Darian",Female,152
"Whyte, Robert",Male,177
"Kiyota, Chamos",Male,174
"Harvey, Yuri",Female,173
"Terrazas Balcorta, Yesenia",Female,158
